id;name;entity_id;parent_id;has_instances;init_state_id;short_name;agregate;base_class_id;target_class_id;criteria_id;data_size;data_precision;min_value;max_value;default_value;autonomous;is_collection;modified;pad_style;pad_char;pad_length;interface;kernel;param_group;tag;validator_id;input_mask;trigger_id;storage_group;init_method_id;lob_storage_group;temp_type;has_type;key_attr;data_precision_min;properties;ods_validfrom;ods_opc;ods_sequenceid
SBE_MBKPVN_FLAG;SBE. Операции с МБК на ПВН. Выбор настроек;TYPE;;0;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;0;0;1,29977E+12;;;;Z#SBE_MBKPVN_FLAG#INTERFACE.CLASS#SBE_MBKPVN_FLAG;0;;;;;;;;;;0;;;;-2,20899E+12;I;
SBE_MBKPVN_O_REF;"Ссылка на ""SBE. Операции с МБК на ПВН. Настройка""";TYPE;;0;;1E+14;REFERENCE;REFERENCE;SBE_MBKPVN_OPT;;;;;;;0;0;1,29977E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
SBE_MBKPVN_OPT;SBE. Операции с МБК на ПВН. Настройки;TYPE;;1;;1E+23;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,44715E+12;;;;Z#SBE_MBKPVN_OPT#INTERFACE.CLASS#SBE_MBKPVN_OPT;0;UC_CARD;;;;;SMALL;;;;0;;;|Weight 380|;1,48447E+12;U;5,3452E+15
SBE_MBKPVN_R_ARR;"Массив ""SBE. Операции с МБК на ПВН. Реквизиты""";TYPE;;0;;1E+23;;COLLECTION;SBE_MBKPVN_REQ;;;;;;;0;0;1,29284E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
SBE_MBKPVN_REQ;SBE. Операции с МБК на ПВН. Реквизиты;TYPE;;1;;1E+23;STRUCTURE;STRUCTURE;;;;;;;;0;0;1,49018E+12;;;;Z#SBE_MBKPVN_REQ#INTERFACE.CLASS#SBE_MBKPVN_REQ;0;;;;;;SMALL;;;;0;;;|Weight 7224|;1,49171E+12;U;5,8838E+15
SBE_MBKPVN_TUN;SBE. Операции с МБК на ПВН. Заплатки;TYPE;;1;;1E+23;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,33304E+12;;;;Z#SBE_MBKPVN_TUN#INTERFACE.CLASS#SBE_MBKPVN_TUN;0;UC_CARD;;;;;SMALL;;;;0;;;|Weight 1|;1,476E+12;U;3,5215E+15
SBE_MBKPVN_Z;SBE. Операции с МБК на ПВН. Заплатки на коды терминалов;TYPE;;1;;1E+14;STRUCTURE;STRUCTURE;;;;;;;;0;0;1,30209E+12;;;;Z#SBE_MBKPVN_Z#INTERFACE.CLASS#SBE_MBKPVN_Z;0;;;;;;SMALL;;;;0;;;|Weight 8|;1,476E+12;U;3,5215E+15
SBE_MBKPVN_Z_ARR;"Массив ""SBE. Операции с МБК на ПВН. Заплатки на коды терминалов""";TYPE;;0;;1E+23;;COLLECTION;SBE_MBKPVN_Z;;;;;;;0;0;1,30201E+12;;;;NUMBER;0;;;;;;;;;;0;;;;-2,20899E+12;I;
SBE_MERCH;SBE. UC Мерчанты;PRODUCT;PRODUCT;0;;1,2011E+23;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,32031E+12;;;;Z#SBE_MERCH#INTERFACE.CLASS#SBE_MERCH;0;;UC_CARD;;;;SMALL;;;;0;;;|Weight 359109|;1,48447E+12;U;5,3452E+15
SBE_MERCH_CN;SBE. UC Мерчант-контракт;TYPE;SBE_DOC_CARD;0;;1,00001E+19;STRUCTURE;STRUCTURE;;;;;;;;1;0;1,32031E+12;;;;Z#SBE_MERCH_CN#INTERFACE.CLASS#SBE_MERCH_CN;0;;UC_CARD;;;;SMALL;;;;0;;;|Weight 0|;1,476E+12;U;3,5215E+15
SBE_MERCH_REF;"SBE. Ссылка на ""SBE. UC Договор эквайринга""";TYPE;;0;;1E+14;REFERENCE;REFERENCE;SBE_MERCHANTS;;;;;;;0;0;1,32025E+12;;;;NUMBER;0;;UC_CARD;;;;;;;;0;;;;-2,20899E+12;I;
SBE_MERCHANT_REF;"SBE. Ссылка на ""SBE. UC Мерчанты""";TYPE;;0;;1E+14;REFERENCE;REFERENCE;SBE_MERCH;;;;;;;0;0;1,32024E+12;;;;NUMBER;0;;UC_CARD;;;;;;;;0;;;;-2,20899E+12;I;
